taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_4	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18003_1	DCA_18019_2	DCA_18021_3	DCA_18021_4	DCA_18024_1	DCA_19001_1	DCA_19014_1	DCA_19023_1	DCA_19026_1	DC_18001_1	DC_18004_1	DC_18005_1	DC_18006_2	DC_18007_1	DC_18008_1	DC_18009_1	DC_18011_1	DC_18012_1	DC_18012_2	DC_18020_2	DC_18022_1	DC_18022_2	DC_18026_1	DC_18029_1	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	3615	3386	511	61	3493	3553	1304	3011	724	1094	1891	452	3107	2315	563	2446	705	1188	1369	1394	616	461	1182	531	1050	1298	1685	2568	1646	711	1129	1586	1256	199	2480	2839	1639	3029	337	357	300	2065	594	1302	1206	63	1124	495	1172	2356	2467	2666	1661	3732	3275	2963	1742	1914	93878	26.17%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	13	10	0	236	3	0	1496	12	2653	1074	758	4096	1122	1139	3786	926	2682	477	1421	1649	2985	3524	1403	3675	433	2226	934	814	810	549	359	260	82	31	369	245	161	149	2414	2724	2157	3	43	142	125	14	39	55	167	0	0	0	242	0	0	421	569	4	51681	14.4%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	323	334	3594	70	169	240	153	470	379	228	165	357	276	402	311	249	370	170	251	426	455	385	211	499	145	382	244	310	249	286	91	151	106	171	58	151	103	170	343	279	244	112	22	144	148	25	55	39	82	312	248	318	220	219	385	159	108	78	16644	4.64%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	151	192	229	338	235	217	236	614	288	157	238	293	384	278	486	267	302	86	320	294	379	294	98	367	148	354	210	287	267	141	93	161	255	198	272	419	148	338	288	265	188	333	232	249	255	92	197	245	424	223	174	160	292	191	120	375	153	304	14794	4.12%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__unclassified_f__Lachnospiraceae	0	4	0	15	0	0	451	215	67	207	410	5	23	164	12	274	46	502	132	122	69	111	217	0	0	87	219	235	206	196	298	462	442	349	16	19	130	0	39	125	227	539	95	19	215	19	635	591	20	50	75	35	184	0	2	103	215	750	9643	2.69%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__norank_f__Muribaculaceae	0	0	2	12	0	0	107	187	157	197	120	21	9	72	0	68	10	685	287	81	0	30	123	0	24	0	165	102	47	158	112	76	368	115	43	72	30	11	31	63	177	240	18	26	4	545	468	1102	33	104	17	14	110	0	8	0	58	353	6862	1.91%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__norank_o__Clostridia_UCG-014; g__norank_f__norank_o__Clostridia_UCG-014	0	0	0	0	0	0	210	16	133	216	400	0	14	30	0	106	102	190	77	123	0	177	191	0	4	273	193	91	457	513	221	278	174	477	46	35	289	61	275	59	190	9	103	1	70	0	28	71	0	19	0	0	159	0	0	6	312	29	6428	1.79%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter	164	121	122	72	148	158	49	20	73	83	85	88	75	100	108	76	100	79	87	125	127	102	58	148	65	105	100	110	68	62	89	80	41	108	74	107	20	43	76	98	70	17	30	101	29	51	55	48	40	136	88	170	70	210	125	53	116	7	5030	1.4%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005	7	0	3	2	0	0	221	10	94	105	265	0	31	135	0	146	83	51	194	122	24	140	212	0	13	29	128	85	106	182	190	192	0	70	56	106	409	57	0	170	86	0	0	74	176	0	188	0	0	0	0	0	276	0	0	29	86	8	4561	1.27%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	0	15	109	0	32	14	173	0	227	162	78	141	181	143	188	121	174	92	224	165	141	149	112	149	135	219	122	59	100	100	65	93	8	9	19	51	0	37	150	88	78	0	0	34	7	0	0	0	11	0	34	22	35	16	29	85	88	0	4484	1.25%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella	2	20	0	0	15	0	0	0	2	26	9	0	0	0	0	0	0	2	0	16	0	0	4	0	0	0	0	0	3	0	20	0	21	0	0	0	0	11	0	55	0	0	235	0	5	3782	11	0	0	0	0	0	0	0	125	11	17	0	4392	1.22%
