taxon_name	CON_18018_1	CON_18018_2	CON_18018_3	CON_18018_5	CON_18018_6	CON_19007_1	CON_19007_2	CON_19009_1	CON_19009_2	CON_19010_1	CON_19011_1	CON_19012_1	CON_19016_1	CON_19017_1	CON_19018_1	CON_19019_1	CON_19020_1	CON_19021_1	CON_19024_1	CON_19027_1	CON_19028_1	CON_19029_1	CON_19031_1	CON_19032_1	CON_19033_1	CON_19034_1	CON_19035_1	CON_19036_1	CON_19037_1	CON_19041_1	CON_19042_1	DCA_18002_1	DCA_18002_4	DCA_18002_5	DCA_18002_8	DCA_18003_1	DCA_18003_4	DCA_18003_5	DCA_18003_7	DCA_18019_2	DCA_18019_3	DCA_18019_4	DCA_18019_5	DCA_18021_11	DCA_18021_3	DCA_18021_4	DCA_18021_5	DCA_18021_6	DCA_18021_7	DCA_18021_8	DCA_18021_9	DCA_18024_1	DCA_18024_3	DCA_18024_4	DCA_18024_5	DCA_19001_1	DCA_19001_3	DCA_19001_4	DCA_19001_5	DCA_19014_1	DCA_19014_3	DCA_19014_4	DCA_19023_1	DCA_19023_3	DCA_19023_4	DCA_19026_1	DCA_19026_3	DCA_19026_4	DC_18001_1	DC_18004_1	DC_18004_4	DC_18004_5	DC_18004_6	DC_18005_1	DC_18005_4	DC_18005_5	DC_18005_6	DC_18006_2	DC_18006_4	DC_18006_5	DC_18006_6	DC_18007_1	DC_18007_4	DC_18007_5	DC_18008_1	DC_18008_4	DC_18008_5	DC_18008_6	DC_18009_1	DC_18009_3	DC_18009_6	DC_18009_8	DC_18011_1	DC_18011_4	DC_18011_5	DC_18011_6	DC_18012_1	DC_18012_10	DC_18012_14	DC_18012_16	DC_18012_2	DC_18012_7	DC_18012_8	DC_18012_9	DC_18020_2	DC_18020_3	DC_18020_4	DC_18022_1	DC_18022_11	DC_18022_12	DC_18022_2	DC_18022_5	DC_18022_6	DC_18022_7	DC_18022_8	DC_18026_1	DC_18026_3	DC_18026_4	DC_18026_5	DC_18029_1	DC_18029_3	DC_18029_4	DC_18029_6	DC_19030_1	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	3615	3386	511	3493	3553	1304	3011	724	1094	1891	452	3107	2315	563	2446	705	1188	1369	1394	616	461	1182	531	1050	1298	1685	2568	1646	711	1129	1586	1256	1061	958	994	199	956	33	2607	2480	2235	1781	2119	3217	2839	1639	1792	2303	2041	1711	1680	3029	2550	2791	3121	337	2341	2979	2505	357	182	241	300	162	219	2065	1841	1893	594	1302	1853	1387	1219	1206	1084	387	462	63	661	731	419	1124	268	721	495	703	1150	880	1172	1162	1096	577	2356	2982	2405	3112	2467	2712	3421	73	2666	2643	3064	3440	1661	2401	2590	3732	2591	2398	3275	3657	4210	3708	3501	2963	2968	2742	2779	1742	828	1025	2805	1914	216945	28.28%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	13	10	0	3	0	1496	12	2653	1074	758	4096	1122	1139	3786	926	2682	477	1421	1649	2985	3524	1403	3675	433	2226	934	814	810	549	359	260	82	78	59	42	31	116	22	19	369	132	209	179	199	245	161	117	234	214	199	183	149	155	310	349	2414	1186	1249	1172	2724	1227	1254	2157	2515	2727	3	0	1	43	142	83	90	109	125	108	65	110	14	59	58	38	39	47	44	55	127	21	70	167	120	180	12	0	9	0	225	0	0	4	0	0	0	0	4	242	143	162	0	487	590	0	0	0	0	0	421	395	400	181	569	1870	1900	859	4	74162	9.67%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	151	192	229	235	217	236	614	288	157	238	293	384	278	486	267	302	86	320	294	379	294	98	367	148	354	210	287	267	141	93	161	255	269	184	212	198	207	89	266	272	320	282	327	393	419	148	228	375	349	315	438	338	307	410	362	288	353	353	276	265	87	69	188	184	217	333	394	452	232	249	311	272	272	255	227	251	203	92	167	235	245	197	228	187	245	267	211	343	424	307	389	292	223	161	204	304	174	239	154	9	160	210	209	186	292	388	452	191	367	418	120	224	146	275	151	375	315	246	245	153	266	227	354	304	32331	4.21%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	323	334	3594	169	240	153	470	379	228	165	357	276	402	311	249	370	170	251	426	455	385	211	499	145	382	244	310	249	286	91	151	106	80	405	386	171	77	104	211	58	199	416	164	360	151	103	96	296	290	255	351	170	259	330	255	343	422	248	229	279	98	276	244	120	350	112	65	114	22	144	97	104	269	148	76	44	35	25	134	40	24	55	43	28	39	158	123	229	82	136	123	287	312	430	807	213	248	358	433	14	318	191	316	234	220	297	309	219	228	240	385	275	196	307	373	159	248	187	121	108	328	192	225	78	31502	4.11%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__unclassified_f__Lachnospiraceae	0	4	0	0	0	451	215	67	207	410	5	23	164	12	274	46	502	132	122	69	111	217	0	0	87	219	235	206	196	298	462	442	692	527	604	349	445	781	49	16	109	96	128	2	19	130	161	50	37	73	17	0	80	101	7	39	0	0	284	125	83	129	227	148	278	539	675	641	95	19	47	117	113	215	111	179	723	19	161	528	231	635	454	304	591	381	362	485	20	4	36	10	50	84	57	18	75	3	3	1480	35	78	6	4	184	51	57	0	52	14	2	1	0	2	0	103	156	134	78	215	88	84	4	750	22525	2.94%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__norank_f__Muribaculaceae	0	0	2	0	0	107	187	157	197	120	21	9	72	0	68	10	685	287	81	0	30	123	0	24	0	165	102	47	158	112	76	368	141	59	358	115	54	284	86	43	185	119	133	0	72	30	88	40	2	60	41	11	93	12	1	31	80	12	52	63	218	179	177	214	283	240	374	306	18	26	18	37	21	4	80	1396	563	545	356	599	1095	468	624	1066	1102	546	783	850	33	9	17	19	104	18	62	8	17	0	9	1914	14	27	2	0	110	125	101	0	0	0	8	2	0	7	12	0	0	34	36	58	107	66	53	353	20986	2.74%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridia_UCG-014; f__norank_o__Clostridia_UCG-014; g__norank_f__norank_o__Clostridia_UCG-014	0	0	0	0	0	210	16	133	216	400	0	14	30	0	106	102	190	77	123	0	177	191	0	4	273	193	91	457	513	221	278	174	367	433	204	477	323	792	15	46	21	304	16	0	35	289	57	0	0	5	0	61	0	42	0	275	0	0	58	59	300	548	190	148	58	9	49	26	103	1	1	40	34	70	129	134	15	0	32	98	130	28	85	99	71	0	73	15	0	0	14	0	19	8	0	6	0	3	0	134	0	10	0	0	159	22	29	0	7	0	0	0	0	0	1	6	0	231	96	312	21	161	87	29	11909	1.55%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	93	76	50	80	65	20	159	61	22	67	52	109	83	42	47	63	5	52	53	105	35	53	50	20	104	36	69	66	0	21	60	19	25	34	18	0	23	0	56	45	208	110	134	280	252	65	96	304	171	164	286	164	214	184	214	32	42	45	63	76	0	0	19	23	39	127	63	52	120	18	18	97	56	44	44	78	13	5	80	13	12	20	48	124	21	29	35	26	41	11	46	57	103	107	66	152	142	155	73	0	139	272	66	67	157	116	301	65	195	152	101	80	113	108	92	152	141	100	70	27	19	32	92	42	10018	1.31%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter	164	121	122	148	158	49	20	73	83	85	88	75	100	108	76	100	79	87	125	127	102	58	148	65	105	100	110	68	62	89	80	41	34	15	51	108	35	42	144	74	35	58	35	97	107	20	39	68	85	52	64	43	50	85	114	76	88	118	71	98	83	95	70	127	75	17	0	13	30	101	91	64	31	29	23	36	29	51	23	27	46	55	26	18	48	28	27	64	40	44	31	73	136	156	172	48	88	191	160	22	170	188	191	98	70	59	66	210	64	72	125	196	118	182	149	53	86	73	64	116	72	84	90	7	10013	1.31%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__UCG-005	7	0	3	0	0	221	10	94	105	265	0	31	135	0	146	83	51	194	122	24	140	212	0	13	29	128	85	106	182	190	192	0	0	68	36	70	0	33	5	56	125	128	276	0	106	409	211	79	127	71	24	57	62	31	21	0	80	39	79	170	263	439	86	84	156	0	4	0	0	74	42	148	119	176	197	108	53	0	186	321	221	188	317	239	0	13	16	6	0	0	0	0	0	0	0	40	0	10	0	1	0	0	0	0	276	150	147	0	0	25	0	0	0	0	0	29	29	52	16	86	168	133	53	8	9810	1.28%
