taxon_name	CON_18018_4	CON_19044_1	CON_19044_2	CON_19045_1	CON_19048_1	CON_19049_1	CON_19050_1	CON_19051_1	CON_H20_1	CON_H20_2	CON_H20_3	CON_H30_1	CON_H30_2	CON_H30_3	CON_H60_1	DCA_19014_5	DCA_19023_5	DCA_19026_5	DCA_19060_1	DCA_19060_3	DCA_19060_4	DCA_19060_5	DCA_19065_1	DCA_19065_3	DCA_19065_4	DCA_19065_5	DC_19043_1	DC_19043_3	DC_19043_4	DC_19043_5	DC_19046_1	DC_19046_3	DC_19046_4	DC_19046_5	DC_19052_1	DC_19052_4	DC_19052_5	DC_19052_6	DC_19061_1	DC_19061_3	DC_19061_4	DC_19061_5	DC_19063_1	DC_19063_3	DC_19063_4	DC_19063_5	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus	26	213	1684	2207	2582	137	1786	1092	32	32	83	71	57	30	45	978	1060	1728	2004	2264	48	1664	127	1400	2091	1689	1052	112	1490	56	107	1914	2396	1954	1894	1815	417	2605	2230	735	671	2136	1293	2145	2120	178	52450	18.43%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	70	499	600	500	473	322	482	306	271	1087	985	1482	1311	1365	814	366	257	417	321	313	25	289	115	324	290	327	275	359	412	129	1131	479	391	356	352	476	364	376	391	183	225	291	231	224	325	232	20813	7.31%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	22	248	288	366	286	122	274	244	2601	453	1637	845	1609	1563	1152	227	206	246	299	229	50	201	96	237	212	214	168	219	291	57	104	286	244	229	169	351	283	274	243	124	125	191	157	223	241	210	18116	6.37%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Enhydrobacter	10	11	7	26	23	4	10	8	0	11	17	0	17	13	38	48	8	22	18	19	5517	12	4463	11	18	7	9	22	53	5229	0	17	26	13	15	22	23	13	22	10	8	15	16	14	8	13	15886	5.58%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Bifidobacteriales; f__Bifidobacteriaceae; g__Bifidobacterium	5	120	9	16	245	4327	48	1538	0	0	0	0	0	0	0	169	76	84	83	218	36	350	119	655	42	283	231	124	206	12	10	53	49	482	64	123	162	26	54	61	96	104	70	564	375	2418	13707	4.82%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	338	173	182	138	152	44	200	135	22	122	120	78	88	80	139	231	215	186	135	217	16	168	59	202	178	157	171	177	221	29	159	333	245	180	186	175	201	236	195	157	131	160	77	93	128	69	7098	2.49%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__unclassified_f__Enterobacteriaceae	53	53	44	55	80	19	90	54	30	341	318	777	545	397	333	35	82	48	72	49	6	43	69	430	131	52	28	45	45	6	10	105	67	69	97	60	71	49	54	81	54	62	119	424	375	753	6780	2.38%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas	15	279	185	182	106	95	97	97	15	179	275	201	247	189	206	274	150	423	138	133	27	99	66	121	131	138	94	139	151	64	257	147	83	149	92	107	100	73	138	65	61	121	77	107	81	66	6240	2.19%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium-Methylorubrum	24	50	46	46	66	18	81	46	0	93	115	30	50	18	24	75	62	49	69	83	3	71	25	63	82	42	51	75	80	10	9	100	81	92	59	79	2504	79	81	48	48	47	46	73	89	53	5035	1.77%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Micrococcales; f__Microbacteriaceae; g__Microbacterium	0	61	13	12	4	10	18	21	2	36	30	0	36	20	10	150	19	4	33	297	1	18	146	49	26	6	88	2677	33	129	90	26	9	11	12	41	5	26	20	24	35	9	18	83	5	169	4532	1.59%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__norank_f__Muribaculaceae	12	35	31	30	27	3	59	43	838	156	17	7	0	7	19	27	19	10	18	31	2	15	12	35	39	40	1288	5	25	2	0	23	22	38	64	18	8	30	9	141	326	48	66	44	40	10	3739	1.31%
