Sample	Enterotype
CON_18018_1	1
CON_18018_2	1
CON_18018_3	1
CON_18018_4	1
CON_18018_5	1
CON_18018_6	1
CON_19007_1	1
CON_19007_2	1
CON_19009_1	1
CON_19009_2	1
CON_19010_1	1
CON_19011_1	1
CON_19012_1	1
CON_19016_1	1
CON_19017_1	1
CON_19018_1	1
CON_19019_1	1
CON_19020_1	1
CON_19021_1	1
CON_19024_1	1
CON_19027_1	1
CON_19028_1	1
CON_19029_1	1
CON_19031_1	1
CON_19032_1	1
CON_19033_1	1
CON_19034_1	1
CON_19035_1	1
CON_19036_1	1
CON_19037_1	1
CON_19041_1	1
CON_19042_1	1
CON_19044_1	2
CON_19044_2	2
CON_19045_1	2
CON_19048_1	2
CON_19049_1	2
CON_19050_1	2
CON_19051_1	2
CON_H20_1	2
CON_H20_2	2
CON_H20_3	2
CON_H30_1	2
CON_H30_2	2
CON_H30_3	2
CON_H60_1	2
DCA_18002_1	1
DCA_18003_1	1
DCA_18019_2	1
DCA_18021_3	1
DCA_18021_4	1
DCA_18024_1	1
DCA_19001_1	1
DCA_19014_1	1
DCA_19023_1	1
DCA_19026_1	1
DCA_19060_1	2
DCA_19065_1	2
DC_18001_1	1
DC_18004_1	1
DC_18005_1	1
DC_18006_2	1
DC_18007_1	1
DC_18008_1	1
DC_18009_1	1
DC_18011_1	1
DC_18012_1	1
DC_18012_2	1
DC_18020_2	1
DC_18022_1	1
DC_18022_2	1
DC_18026_1	1
DC_18029_1	1
DC_19030_1	1
DC_19043_1	2
DC_19046_1	2
DC_19052_1	2
DC_19061_1	2
DC_19063_1	2
