Sample	Enterotype
CON_18018_1	1
CON_18018_2	1
CON_18018_3	1
CON_18018_4	2
CON_18018_5	1
CON_18018_6	1
CON_19007_1	1
CON_19007_2	1
CON_19009_1	1
CON_19009_2	1
CON_19010_1	1
CON_19011_1	1
CON_19012_1	1
CON_19016_1	1
CON_19017_1	1
CON_19018_1	1
CON_19019_1	1
CON_19020_1	1
CON_19021_1	1
CON_19024_1	1
CON_19027_1	1
CON_19028_1	1
CON_19029_1	1
CON_19031_1	1
CON_19032_1	1
CON_19033_1	1
CON_19034_1	1
CON_19035_1	1
CON_19036_1	1
CON_19037_1	1
CON_19041_1	1
CON_19042_1	1
CON_19044_1	2
CON_19044_2	2
CON_19045_1	2
CON_19048_1	2
CON_19049_1	2
CON_19050_1	2
CON_19051_1	2
CON_H20_1	2
CON_H20_2	2
CON_H20_3	2
CON_H30_1	2
CON_H30_2	2
CON_H30_3	2
CON_H60_1	2
DCA_18002_1	1
DCA_18002_4	1
DCA_18002_5	1
DCA_18002_8	1
DCA_18003_1	1
DCA_18003_4	1
DCA_18003_5	1
DCA_18003_7	1
DCA_18019_2	1
DCA_18019_3	1
DCA_18019_4	1
DCA_18019_5	1
DCA_18021_11	1
DCA_18021_3	1
DCA_18021_4	1
DCA_18021_5	1
DCA_18021_6	1
DCA_18021_7	1
DCA_18021_8	1
DCA_18021_9	1
DCA_18024_1	1
DCA_18024_3	1
DCA_18024_4	1
DCA_18024_5	1
DCA_19001_1	1
DCA_19001_3	1
DCA_19001_4	1
DCA_19001_5	1
DCA_19014_1	1
DCA_19014_3	1
DCA_19014_4	1
DCA_19014_5	2
DCA_19023_1	1
DCA_19023_3	1
DCA_19023_4	1
DCA_19023_5	2
DCA_19026_1	1
DCA_19026_3	1
DCA_19026_4	1
DCA_19026_5	2
DCA_19060_1	2
DCA_19060_3	2
DCA_19060_4	2
DCA_19060_5	2
DCA_19065_1	2
DCA_19065_3	2
DCA_19065_4	2
DCA_19065_5	2
DC_18001_1	1
DC_18004_1	1
DC_18004_4	1
DC_18004_5	1
DC_18004_6	1
DC_18005_1	1
DC_18005_4	1
DC_18005_5	1
DC_18005_6	1
DC_18006_2	1
DC_18006_4	1
DC_18006_5	1
DC_18006_6	1
DC_18007_1	1
DC_18007_4	1
DC_18007_5	1
DC_18008_1	1
DC_18008_4	1
DC_18008_5	1
DC_18008_6	1
DC_18009_1	1
DC_18009_3	1
DC_18009_6	1
DC_18009_8	1
DC_18011_1	1
DC_18011_4	1
DC_18011_5	1
DC_18011_6	1
DC_18012_1	1
DC_18012_10	1
DC_18012_14	1
DC_18012_16	1
DC_18012_2	1
DC_18012_7	1
DC_18012_8	1
DC_18012_9	1
DC_18020_2	1
DC_18020_3	1
DC_18020_4	1
DC_18022_1	1
DC_18022_11	1
DC_18022_12	1
DC_18022_2	1
DC_18022_5	1
DC_18022_6	1
DC_18022_7	1
DC_18022_8	1
DC_18026_1	1
DC_18026_3	1
DC_18026_4	1
DC_18026_5	1
DC_18029_1	1
DC_18029_3	1
DC_18029_4	1
DC_18029_6	1
DC_19030_1	1
DC_19043_1	2
DC_19043_3	2
DC_19043_4	2
DC_19043_5	2
DC_19046_1	2
DC_19046_3	2
DC_19046_4	2
DC_19046_5	2
DC_19052_1	2
DC_19052_4	2
DC_19052_5	2
DC_19052_6	2
DC_19061_1	2
DC_19061_3	2
DC_19061_4	2
DC_19061_5	2
DC_19063_1	2
DC_19063_3	2
DC_19063_4	2
DC_19063_5	2
