taxon_name	DCA_18019_1	DCA_18019_6	DCA_18021_1	DCA_18021_10	DCA_18021_12	DCA_18021_2	DCA_18024_2	DCA_18024_6	DCA_19001_2	DCA_19001_6	DCA_19026_2	DC_18011_3	DC_18011_7	DC_18012_13	DC_18012_15	DC_18012_5	DC_18012_6	DC_18020_1	DC_18020_5	DC_18022_14	DC_18022_16	DC_18022_3	DC_18022_4	DC_18026_2	DC_18026_6	DC_18029_2	DC_18029_7	DC_19030_2	sum	pre	
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Cupriavidus	2572	2054	3193	2400	3020	1338	2851	69	977	2471	3879	2860	2982	2873	3768	406	3157	1281	2084	2591	2392	2865	3648	2580	2410	2477	767	2281	66246	38.25%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Burkholderiales; f__Oxalobacteraceae; g__Massilia	312	186	222	174	236	229	225	93	2999	986	0	0	201	0	8	0	0	146	157	201	248	0	0	340	593	1257	2876	0	11689	6.75%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonas	414	385	508	524	441	168	330	107	464	293	550	158	445	226	203	156	183	147	422	373	280	152	256	299	202	380	278	431	8775	5.07%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter	234	201	287	239	129	93	113	7	392	240	126	725	286	289	268	298	134	90	253	212	266	343	137	371	123	289	393	124	6662	3.85%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus	64	29	13	64	0	49	2	4861	0	132	1	3	65	20	142	4	53	74	71	43	47	19	0	0	6	0	82	9	5853	3.38%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Cobetia	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	3892	52	0	0	0	0	0	0	0	0	0	0	0	3973	2.29%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Pseudomonas	237	54	217	135	154	63	171	0	57	46	166	68	250	54	48	80	30	52	270	166	253	472	73	206	32	38	183	37	3612	2.09%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__unclassified_f__Enterobacteriaceae	168	73	145	75	75	55	128	0	44	55	105	91	106	125	27	62	108	29	145	136	104	41	62	108	23	146	106	26	2368	1.37%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__unclassified_f__Rhizobiaceae	97	42	101	132	65	93	39	31	159	101	49	121	56	158	95	57	110	36	107	40	51	53	104	67	69	125	101	83	2342	1.35%
d__Bacteria; k__norank_d__Bacteria; p__Deinococcota; c__Deinococci; o__Thermales; f__Thermaceae; g__Thermus	131	63	104	65	111	41	193	36	67	64	82	91	139	91	56	59	99	56	104	98	85	34	86	66	58	117	63	40	2299	1.33%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter	80	61	123	59	58	28	26	7	89	76	33	62	73	220	156	75	142	15	87	63	44	75	260	90	59	95	85	13	2254	1.3%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Escherichia-Shigella	73	25	35	40	55	57	49	0	29	21	27	240	43	212	218	127	103	13	35	43	45	115	261	29	15	22	19	49	2000	1.15%
d__Bacteria; k__norank_d__Bacteria; p__Spirochaetota; c__Spirochaetia; o__Spirochaetales; f__Spirochaetaceae; g__Treponema	15	180	20	0	3	776	1	0	0	34	1	0	12	1	0	0	0	339	144	0	69	0	0	87	111	15	3	0	1811	1.05%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus	82	39	4	0	26	5	8	0	9	0	77	9	41	31	4	297	719	38	0	2	18	23	62	58	85	23	0	41	1701	0.98%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__unclassified_f__Lachnospiraceae	9	116	10	1	15	201	120	0	0	123	118	52	2	4	0	8	50	161	16	8	58	5	5	101	143	19	9	341	1695	0.98%
d__Bacteria; k__norank_d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Muribaculaceae; g__norank_f__Muribaculaceae	29	102	8	3	0	198	72	0	0	70	37	39	8	12	0	4	65	90	66	0	33	3	8	71	68	28	0	661	1675	0.97%
d__Bacteria; k__norank_d__Bacteria; p__Actinobacteriota; c__Actinobacteria; o__Corynebacteriales; f__Corynebacteriaceae; g__Corynebacterium	103	45	28	32	14	50	45	0	0	105	20	60	44	91	54	0	20	7	29	267	148	43	23	5	79	172	38	25	1547	0.89%
d__Bacteria; k__norank_d__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingobium	44	16	26	34	45	13	14	0	159	87	0	129	46	10	69	0	0	0	30	64	35	53	14	66	47	164	197	0	1362	0.79%
d__Bacteria; k__norank_d__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospiraceae_XPB1014_group	136	75	85	6	48	159	61	0	59	104	0	0	88	0	0	0	0	119	62	54	56	0	0	58	63	40	61	0	1334	0.77%
